feature_id,bidirectional_sum,jensen_shannon,total_events,register_overlap
LEMMA-CHG,66.43856191518499,28.941667520773382,22,0.0
FW-DEL,66.43856189972344,32.24388425343828,2241,0.0
FW-ADD,66.43856189970421,32.20773396585781,170,0.0
CONST-REM,66.43856189960437,32.18946684889752,254,0.0
CONST-ADD,66.43856189911953,32.21195126023069,124,0.0
C-ADD,66.43856189894946,32.59537169591798,540,0.0
C-DEL,66.43856189889362,32.45202927276116,720,0.0
FORM-CHG,61.868470130205736,24.835577001994686,89,0.027586206896551724
FEAT-CHG,11.517600712774058,2.800797278362891,129,0.625
TED-RTED,9.948759553054934,2.6645352591003757e-15,1035,1.0
